feature,importance
total_per_capita,0.16648458
auth_strength_score,0.110282026
is_suspicious_hours,0.076300174
interval_deviation,0.073820546
quantity_z_score,0.069614135
wheat_ratio,0.044393886
distance_km,0.04140699
kerosene_l,0.038259406
rice_per_capita,0.038094435
log_distance,0.035248037
income_category_encoded,0.026552659
rice_ratio,0.021323264
hour,0.021091027
is_business_hours,0.020202944
wheat_per_capita,0.01852592
pulses_kg,0.01768845
value_per_capita,0.016641116
value_per_kg,0.015650757
beneficiary_family_size,0.015388764
has_multiple_anomalies,0.0139328735
beneficiary_txn_count,0.012609471
sugar_ratio,0.009587504
kerosene_ratio,0.00931471
quantity_regularity_product,0.0084097115
distance_deviation,0.00700675
quantity_rolling_mean,0.0049599214
total_food_kg,0.0044821976
days_since_last_txn,0.004197252
interval_coefficient_variation,0.0035864848
interval_rolling_mean,0.0033853014
quantity_rolling_std,0.0033819957
total_quantity,0.0032225796
total_value,0.0031029931
avg_distance,0.0030859548
interval_rolling_std,0.0029812036
log_total_value,0.0027599346
is_low_compliance_shop,0.0027244543
rice_kg,0.0026626375
cumulative_distance,0.0025084543
wheat_kg,0.00231252
family_quantity_ratio,0.002231779
is_very_distant,0.002180401
auth_risk_product,0.0014170574
is_weak_auth,0.0012885806
is_high_risk_shop,0.0012736553
shop_txn_velocity,0.0012162521
shop_compliance_score,0.001179336
shop_txn_count,0.0010981698
sugar_kg,0.0010023047
day_of_month,0.0009144753
primary_shop_ratio,0.0008005181
beneficiary_txn_density,0.00077981857
vulnerability_distance,0.0007342477
shop_risk_score,0.0006916075
is_peak_hours,0.0006365931
risk_distance_product,0.000590938
beneficiary_vulnerability,0.00057335256
month,0.0005689652
unique_shops_used,0.000560745
is_distant_shop,0.0005289124
shop_capacity_encoded,0.0004973334
day_of_week,0.00046401654
shop_performance_score,0.00044585206
is_high_velocity,0.00041117577
is_weekend,0.00030073087
is_month_end,0.00019807542
is_large_family,0.00014416662
is_month_start,8.696399e-05
is_nearby_shop,0.0
is_strong_auth,0.0
is_vulnerable,0.0
