Node,Centrality_Score,Is_Actual_Leader,Is_Coordinator,Is_Bridge
S_118,0.8364605631293927,False,False,False
S_77,0.739666403462836,False,False,False
S_22,0.7336508350912111,False,False,False
S_7,0.6647920940989208,False,False,False
S_4,0.6408199225270719,False,False,False
S_122,0.5704790431246363,False,False,False
S_137,0.5297767892022764,False,False,False
S_75,0.5159763854703033,False,False,False
S_88,0.5150924800603657,False,False,False
S_71,0.5107510622474778,False,False,False
S_103,0.5105880574036168,False,False,False
S_70,0.5060188070817824,False,False,False
S_81,0.504156616735674,False,False,False
S_101,0.4995469878197848,False,False,False
S_74,0.49281476325736423,False,False,False
S_3,0.4833289465461227,False,False,False
S_145,0.4811114798253935,False,False,False
S_129,0.4772966996468004,False,False,False
S_19,0.4707032430346131,False,False,False
S_30,0.46921320784356446,False,False,False
S_32,0.46247322578695893,False,False,False
S_117,0.45915698531986177,False,False,False
S_138,0.45724111655454425,False,False,False
S_67,0.45513383586420136,False,False,False
S_78,0.45484350713277283,False,False,False
S_125,0.45477178702991916,False,False,False
S_45,0.44806806251521064,False,False,False
S_9,0.4387083976710462,False,False,False
S_84,0.4381574896567459,False,False,False
S_113,0.4354619613833581,False,False,False
S_130,0.4328559037667412,False,False,False
S_132,0.4283880191180646,False,False,False
S_149,0.42646520855711234,False,False,False
S_44,0.4243709912284682,False,False,False
S_50,0.41701549941641564,False,False,False
S_106,0.411965758087923,False,False,False
S_72,0.40901350854175333,False,False,False
S_147,0.4076324834915346,False,False,False
S_107,0.40367341422022956,False,False,False
S_114,0.3939277346247172,False,False,False
S_0,0.391613739728578,False,False,False
S_119,0.38841058436691417,False,False,False
S_83,0.38595428428148615,False,False,False
S_52,0.38509071121888144,False,False,False
S_65,0.38267446937074867,False,False,False
S_148,0.3819291605439576,False,False,False
S_55,0.3804517331394659,False,False,False
S_42,0.3760296228869547,False,False,False
S_142,0.37539537276686635,False,False,False
S_128,0.37387076672942804,False,False,False
